id,CODI_BASE,DSL,la,dc,sre,srd,dire,dird,dife,difd,dure,durd
1,101,NULL,1.55074,45.4988,3865.1,3836.54,2523.39,2773.24,911.032,976.171,7.82979,8.23609
2,102,103,0.917214,21.5497,2614.91,3403.11,2738.24,2846.25,915.367,937.852,6.38085,7.80599
3,103,NULL,1.88816,16.5396,2851.48,3694.12,2776.06,2446.59,971.871,944.269,6.89908,7.99483
4,104,NULL,0.571917,NULL,4579.62,NULL,2996.94,NULL,1000.91,NULL,10.1437,NULL
5,114,NULL,0.496122,8.48947,2881.16,3381.2,2826.75,2688.04,1003.1,987.366,7.07714,8.34784
6,115,NULL,1.27371,12.1667,3035.28,2995.55,2810.22,2182.86,1033.67,1014.42,7.79847,7.67991
7,117,NULL,0.977364,63.1075,3581.61,3314.01,2824.55,2249.03,1031.55,1017.48,8.70474,8.12984
8,118,119,0.722666,NULL,2572.92,NULL,2725.1,NULL,1011.9,NULL,8.60997,NULL
9,119,NULL,0.762713,55.8732,2845.64,3404.35,2755.7,2519.32,1004.17,1011.9,6.91843,8.47232
10,122,NULL,0.728168,26.959,3033.03,3093.62,2560.96,2114.52,970.416,943.011,6.98039,6.56334
11,126,NULL,0.620504,90.5603,3476.82,2920.5,2738.54,1842.62,1011.56,952.737,8.29502,6.56224
12,138,229,2.72368,56.7715,3956.12,4044.88,2928.05,2999.48,1071.02,1052.86,9.92643,9.96793
13,139,138,0.747179,51.6,4128.53,4172.59,2928.94,3186.37,1054.34,1053.3,9.96439,10.1871
14,141,139,12.83,NULL,3995.4,NULL,2943.26,NULL,1079.86,NULL,9.78706,NULL
15,154,2875,10.8454,NULL,3683.17,NULL,2851.8,NULL,1048.89,NULL,9.22754,NULL
16,159,NULL,0.587559,NULL,3683.59,NULL,2883.98,NULL,1051.25,NULL,8.90932,NULL
17,164,NULL,0.685784,NULL,4206.69,NULL,2922.02,NULL,997.032,NULL,9.16696,NULL
18,228,138,0.138109,4.44152,3572.65,4179.1,2882.39,3164.7,1058.09,1014.33,10.1059,10.0073
19,229,NULL,0.297311,3.09743,4256.11,4312.7,2876.21,2907.46,1066.79,1059.93,9.90667,9.85552
20,1039,NULL,0.22987,124.975,3911.33,3282.02,2427.82,2181.61,911.708,916.396,9.31389,8.36744
21,1041,NULL,0.00663268,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
22,1061,NULL,0.0299611,NULL,3902.01,NULL,2710.32,NULL,978.323,NULL,9.10753,NULL
23,1062,NULL,0.0197129,NULL,3933.97,NULL,2487.84,NULL,969.74,NULL,8.55403,NULL
24,1063,NULL,0.0492568,NULL,2901.68,NULL,2831.25,NULL,993.883,NULL,8.54206,NULL
25,1064,NULL,0.0217472,NULL,4076.52,NULL,2562.45,NULL,1024,NULL,10.5765,NULL
26,1065,NULL,0.09814,NULL,3919,NULL,2889.85,NULL,1006.81,NULL,11.2442,NULL
27,1066,NULL,0.0841139,NULL,1976.08,NULL,2928.39,NULL,858.063,NULL,8.70265,NULL
28,1067,NULL,0.0114389,NULL,3690,NULL,2827.48,NULL,966.902,NULL,9.55938,NULL
29,1068,NULL,0.00275779,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
30,1069,NULL,0.219276,NULL,4138.45,NULL,2623.11,NULL,921.922,NULL,8.90858,NULL
31,1070,NULL,0.545422,15.7569,3800.15,4094.47,2654.55,3080.98,923.708,968.77,8.61837,9.24701
32,1071,NULL,0.10403,4.62357,4104.75,3586.76,2677.93,2767.39,939.048,937.24,9.12389,8.60928
33,1072,NULL,0.14131,NULL,3044.08,NULL,2930.55,NULL,988.097,NULL,8.53164,NULL
34,1073,NULL,0.692184,109.386,2897.65,2948.1,2508.24,1822.74,907.783,906.91,6.53522,7.17907
35,1074,3178,0.0726685,5.02339,3454.09,3231.68,2683.25,2380.11,954.661,947.886,9.31651,8.97208
36,1075,NULL,0.0107882,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
37,1076,NULL,0.109408,NULL,4095.59,NULL,2558.4,NULL,930.19,NULL,9.50561,NULL
38,1077,NULL,1.39195,8.07983,3563.03,3328.3,2706.13,2391.74,958.447,946.593,9.66823,9.49037
39,1078,NULL,24.1594,118.368,3684.1,3680.5,2798.14,2716.19,982.836,963.795,8.61223,8.55135
40,1079,NULL,0.28897,NULL,2575.75,NULL,2832.39,NULL,846.267,NULL,7.14328,NULL
41,1080,NULL,0.824485,31.7915,1854.23,2921.19,2359.9,1668.42,836.68,843.372,4.27837,6.97965
42,1081,1078,0.156652,4.15681,4208.61,4055.98,2925.56,3119.46,994.298,993.073,8.73643,8.74577
43,1082,NULL,0.937361,15.0108,3489.57,3829.58,2779.73,3260.04,920.312,923.247,7.63953,8.87392
44,1083,NULL,3.4861,642.249,1867.54,3386.48,2687.61,2509.71,870.438,910.928,6.63238,7.54296
45,1084,3495,0.247617,14.2393,3257.3,3318.11,2812.48,2678.31,974.382,962.928,7.63985,8.23761
46,1085,NULL,0.097386,NULL,2809.1,NULL,2950.28,NULL,1011.3,NULL,8.22344,NULL
47,1086,NULL,0.0973041,NULL,4162.09,NULL,3095.76,NULL,968.504,NULL,9.622,NULL
