id,CODI_BASE,DSL,la,dc,sre,srd,dire,dird,dife,difd,dure,durd
1,101,NULL,1.55074,45.4988,4968.02,4979.87,3396.77,3668.08,1144.72,1225.08,8.42016,9.30713
2,102,103,0.917214,21.5497,3489.5,4470.91,3714.25,3719.48,1150.14,1177.04,8.0855,9.41126
3,103,NULL,1.88816,16.5396,3843.33,4857.41,3770.81,3300.73,1221.14,1185.69,9.38851,9.74632
4,104,NULL,0.571917,NULL,5880.92,NULL,3996.34,NULL,1257.68,NULL,11.1208,NULL
5,114,NULL,0.496122,8.48947,3903.14,4509.77,3844.56,3659.6,1263.39,1243.5,9.11545,10.1038
6,115,NULL,1.27371,12.1667,4048.92,4000.95,3853.21,3025.26,1303.92,1279.21,9.53303,9.63242
7,117,NULL,0.977364,63.1075,4803.86,4441.21,3831.4,3116.6,1301.09,1282,10.6707,10.1546
8,118,119,0.722666,NULL,3464.85,NULL,3789.29,NULL,1273.5,NULL,9.74592,NULL
9,119,NULL,0.762713,55.8732,3851.29,4578.61,3862.71,3431.41,1265.01,1273.61,9.18461,10.5415
10,122,NULL,0.728168,26.959,4101.74,4211.21,3493.29,2932.9,1223.29,1187.74,9.07455,8.82942
11,126,NULL,0.620504,90.5603,4770.07,3908.67,3803.69,2589.06,1275.49,1199.14,10.3106,8.77024
12,138,229,2.72368,56.7715,5233.25,5315.91,3944.5,3998.16,1348.64,1324.97,11.516,11.2872
13,139,138,0.747179,51.6,5404.57,5456.75,3937.33,4193.06,1326.84,1324.61,11.0046,11.3546
14,141,139,12.83,NULL,5260.28,NULL,3947.61,NULL,1358.4,NULL,10.9568,NULL
15,154,2875,10.8454,NULL,4876.49,NULL,3823.58,NULL,1320.49,NULL,10.6748,NULL
16,159,NULL,0.587559,NULL,4896.32,NULL,3875.63,NULL,1324.11,NULL,10.2193,NULL
17,164,NULL,0.685784,NULL,5440.42,NULL,3941.82,NULL,1254.79,NULL,10.2991,NULL
