id,CODI_BASE,DSL,la,dc,sre,srd,dire,dird,dife,difd,dure,durd
1,101,NULL,1.55074,45.4988,5933.69,6094.57,4584.93,4645.19,1331.84,1423.68,9.22864,10.4177
2,102,103,0.917214,21.5497,4592.67,5617.47,5025.91,4553.19,1338.12,1367.91,9.61935,10.7986
3,103,NULL,1.88816,16.5396,5115.01,5996.25,5029.63,4357.6,1420.71,1378.61,11.1075,10.9997
4,104,NULL,0.571917,NULL,6906.96,NULL,5085.1,NULL,1463.28,NULL,12.0631,NULL
5,114,NULL,0.496122,8.48947,5208.75,5820.48,5049.57,4806.65,1473.31,1450.02,11.2476,11.7744
6,115,NULL,1.27371,12.1667,5383.46,5378.79,5064.97,4322.44,1522.92,1493.57,11.4034,11.6117
7,117,NULL,0.977364,63.1075,6295.19,5864.4,5039.87,4399.62,1519.44,1495.57,12.4899,12.1418
8,118,119,0.722666,NULL,5104.14,NULL,5032.52,NULL,1483.98,NULL,12.6945,NULL
9,119,NULL,0.762713,55.8732,5419.6,6036.15,5104.49,4594.86,1475.52,1484.24,11.4714,12.4664
10,122,NULL,0.728168,26.959,5566.64,5638.68,4727.6,4089.79,1427.78,1385.13,10.6556,10.7795
11,126,NULL,0.620504,90.5603,6284.56,5340.79,5064.62,3878.62,1489.08,1397.45,12.6541,11.402
12,138,229,2.72368,56.7715,6565.92,6595.3,5128.02,5086.37,1572.37,1543.88,12.9431,12.5021
13,139,138,0.747179,51.6,6712.86,6735.93,5139.47,5197.81,1546.05,1542.4,12.3883,12.5801
14,141,139,12.83,NULL,6622.98,NULL,5161.07,NULL,1582.2,NULL,12.1959,NULL
15,154,2875,10.8454,NULL,6212.35,NULL,5008.68,NULL,1539.23,NULL,11.8603,NULL
16,159,NULL,0.587559,NULL,6329.71,NULL,5062.98,NULL,1544.19,NULL,11.4234,NULL
17,164,NULL,0.685784,NULL,6469.32,NULL,5145.05,NULL,1462.17,NULL,11.4358,NULL
18,228,138,0.138109,4.44152,6115.89,6680.39,5099.67,5132.92,1553.15,1487.72,13.1546,12.5836
19,229,NULL,0.297311,3.09743,6815,6748.02,5095.08,5077.98,1566.23,1555.92,12.7883,12.702
20,1039,NULL,0.22987,124.975,5937.78,5480.2,4554.28,3984.82,1361.44,1357.64,11.6906,11.5321
21,1041,NULL,0.00663268,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
22,1061,NULL,0.0299611,NULL,6252.66,NULL,4901.16,NULL,1445.16,NULL,11.7438,NULL
23,1062,NULL,0.0197129,NULL,6107.33,NULL,4610.69,NULL,1431.28,NULL,10.5138,NULL
24,1063,NULL,0.0492568,NULL,5379.33,NULL,4961.96,NULL,1466.7,NULL,12.7267,NULL
25,1064,NULL,0.0217472,NULL,6707.68,NULL,4743.04,NULL,1512.27,NULL,13.2119,NULL
26,1065,NULL,0.09814,NULL,6491.51,NULL,4998.47,NULL,1489.55,NULL,13.7396,NULL
27,1066,NULL,0.0841139,NULL,4008.16,NULL,4492.17,NULL,1274.14,NULL,11.8685,NULL
28,1067,NULL,0.0114389,NULL,6156.25,NULL,4932,NULL,1426.69,NULL,12.191,NULL
29,1068,NULL,0.00275779,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
30,1069,NULL,0.219276,NULL,6585.92,NULL,4720.65,NULL,1362.76,NULL,11.8657,NULL
31,1070,NULL,0.545422,15.7569,5961.24,6227.04,4855.98,4856.96,1361.56,1424.18,10.1674,10.9832
32,1071,NULL,0.10403,4.62357,6293.43,5730.8,4924.72,4600.95,1381.71,1377.38,11.0516,11.0819
33,1072,NULL,0.14131,NULL,5241.72,NULL,5079.36,NULL,1455.46,NULL,11.2986,NULL
34,1073,NULL,0.692184,109.386,5222.98,5271.62,4726.26,3760.31,1349.01,1340.95,10.5319,11.6346
35,1074,3178,0.0726685,5.02339,5881.54,5680.67,4785.84,4388.46,1423.8,1413.07,12.7007,12.5545
36,1075,NULL,0.0107882,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
37,1076,NULL,0.109408,NULL,6675.42,NULL,4742.61,NULL,1371.95,NULL,12.1131,NULL
38,1077,NULL,1.39195,8.07983,6121.21,5836.27,4789.02,4415.77,1430.17,1411.96,13.0196,12.9474
39,1078,NULL,24.1594,118.368,6206.36,6057.25,4963.95,4650.93,1447.85,1417.01,11.2834,11.2884
40,1079,NULL,0.28897,NULL,4980.11,NULL,4637.71,NULL,1253.74,NULL,11.2782,NULL
41,1080,NULL,0.824485,31.7915,3647.96,5065.04,4380.23,3471.56,1236.93,1243.36,8.88562,10.9154
42,1081,1078,0.156652,4.15681,6219.16,6244.06,5104.62,5091.72,1461.57,1459.11,11.0177,11.0075
